matchup,seed,player_name,agent_name,won,score,tickets_completed,tickets_total,ticket_completion_rate,avg_ticket_progress,avg_route_points,claimed_routes,avg_decision_time_ms,illegal_move_count,prevented_illegal_claims_avg,game_length_turns
hybrid_vs_random,123,random,random,0,-19,1,6,0.16666666666666666,0.15124458874458876,2,7,0.06147727270383092,0,39.31818181818182,43
hybrid_vs_random,124,hybrid,hybrid,1,32,1,2,0.5,0.3751044277360067,2.6666666666666665,9,3.8004842107942465,0,40.10526315789474,37
hybrid_vs_random,124,random,random,0,-48,0,8,0.0,0.12917934717746749,2.1666666666666665,6,0.060926315391522,0,40.89473684210526,37
hybrid_vs_random,125,hybrid,hybrid,1,51,2,2,1.0,0.3869598765432099,2,10,3.906444444510271,0,40.111111111111114,35
hybrid_vs_random,125,random,random,0,-41,0,7,0.0,0.17729119425547998,2.8,5,0.06208333312921847,0,39.833333333333336,35
hybrid_vs_random,126,hybrid,hybrid,1,17,0,2,0.0,0.40476190476190477,2.4444444444444446,9,7.419422222584318,0,39,35
hybrid_vs_random,126,random,random,0,-52,0,8,0.0,0.11204805996472664,2.3333333333333335,6,0.0648222222581454,0,40.27777777777778,35
hybrid_vs_random,127,hybrid,hybrid,1,45,2,2,1.0,0.6026785714285714,2.3333333333333335,9,3.0667750002066896,0,40.1,39
hybrid_vs_random,127,random,random,0,-35,1,7,0.14285714285714285,0.22098261526832955,2.1666666666666665,6,0.06448999965869007,0,38.3,39
hybrid_vs_random,128,hybrid,hybrid,1,25,1,2,0.5,0.5324074074074074,2.3333333333333335,9,3.9030666667814433,0,39.666666666666664,35
hybrid_vs_random,128,random,random,0,-51,0,8,0.0,0.1946247480473671,3.2,5,0.06670555527913773,0,39.333333333333336,35
hybrid_vs_random,129,hybrid,hybrid,1,25,1,3,0.3333333333333333,0.3804563492063492,2.3333333333333335,9,3.7079222221210433,0,39.611111111111114,35
hybrid_vs_random,129,random,random,0,-46,0,7,0.0,0.13547046905181825,2.6666666666666665,6,0.06194999999327896,0,39.833333333333336,35
hybrid_vs_random,130,hybrid,hybrid,1,42,2,2,1.0,0.421875,2.5,8,4.346981250023418,0,39.625,31
hybrid_vs_random,130,random,random,0,-70,0,9,0.0,0.15174900399974806,2,5,0.060943749758735066,0,39.875,31
hybrid_vs_random,131,hybrid,hybrid,1,26,1,2,0.5,0.5261437908496732,2.75,8,3.5418411766038522,0,39.94117647058823,33
hybrid_vs_random,131,random,random,0,-52,0,8,0.0,0.14309251478369125,2.1666666666666665,6,0.06494117652062628,0,39.88235294117647,33
